Account,Date,total_trades,net_volume,gross_volume,total_pnl,wins,losses,max_drawdown,num_trades,win_rate,timestamp,value,classification,date,sharpe_ratio,signal
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-05-10,36,-6.50156,9.72212,5767.161892,24,0,0.0,36,1.0,1715319000,66,Greed,2024-05-10,1.3790846181011749,Sell
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-05-11,10,-1.4721899999999999,2.96249,678.4759280000001,5,0,0.0,10,1.0,1715405400,53,Neutral,2024-05-11,0.1813205573167761,Hold
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-05-12,19,-7.64133,7.64133,1435.68724,2,0,0.0,19,1.0,1715491800,56,Greed,2024-05-12,0.381334364767386,Sell
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-04,16,-20.4808,20.4808,236.33513399999998,4,0,0.0,16,1.0,1717479000,73,Greed,2024-06-04,0.06291127504098148,Sell
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-05,9,49.212599999999995,66.07939999999999,968.59038,4,0,0.0,9,1.0,1717565400,75,Extreme Greed,2024-06-05,0.43033890226006233,Hold
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-09,4,15.6331,15.6331,0.0,0,0,0.0,4,0.0,1717911000,75,Extreme Greed,2024-06-09,0.0,Hold
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-10,22,-3.52459,4.8180499999999995,130.487079,5,0,0.0,22,1.0,1717997400,72,Greed,2024-06-10,0.210541950966977,Sell
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-11,12,0.0,1.6737000000000002,2821.24842,7,0,0.0,12,1.0,1718083800,74,Greed,2024-06-11,2.402710903688855,Sell
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-12,59,3.55381,14.98969,7206.315268,21,0,0.0,59,1.0,1718170200,72,Greed,2024-06-12,2.399268033654894,Sell
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-04,23,-14.7128,14.7128,0.0,0,0,0.0,23,0.0,1720071000,44,Fear,2024-07-04,0.0,Buy
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-05,10,-8.64,32.0196,656.21704,7,0,0.0,10,1.0,1720157400,29,Fear,2024-07-05,0.21591346409089243,Buy
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-06,52,109.8909,213.0135,7329.223137999999,30,0,0.0,52,1.0,1720243800,26,Fear,2024-07-06,2.090974521979672,Buy
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-10,21,-3.4539,3.4539,0.0,0,0,0.0,21,0.0,1720589400,28,Fear,2024-07-10,0.0,Buy
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-11,2,0.0,0.80276,628.96246,1,0,0.0,2,1.0,1720675800,29,Fear,2024-07-11,0.19964009292775786,Buy
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-12,4,1.99778,1.99778,2342.996384,4,0,59.097392,4,1.0,1720762200,25,Fear,2024-07-12,0.7807771743214695,Buy
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-04,28,-46.049,46.049,0.0,0,0,0.0,28,0.0,1722749400,34,Fear,2024-08-04,0.0,Buy
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-05,10,21.8835,21.8835,0.0,0,0,0.0,10,0.0,1722835800,26,Fear,2024-08-05,0.0,Buy
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-06,7,12.200499999999998,12.200499999999998,0.0,0,0,0.0,7,0.0,1722922200,17,Extreme Fear,2024-08-06,0.0,Hold
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-10,35,-7.196108999999999,21.150249,5396.546638,33,0,0.0,35,1.0,1723267800,40,Fear,2024-08-10,2.268726463335769,Buy
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-11,24,-5.551115123125783e-17,3.16244,646.3734049999999,6,0,0.0,24,1.0,1723354200,39,Fear,2024-08-11,0.2741410249927984,Buy
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-12,7,-0.6003000000000001,0.6003000000000001,0.0,0,0,0.0,7,0.0,1723440600,25,Fear,2024-08-12,0.0,Buy
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-09-04,3,-16.2979,16.2979,0.0,0,0,0.0,3,0.0,1725427800,27,Fear,2024-09-04,0.0,Buy
